time,distance,spm,power,pace,calhr,calories,heartrate,status,,,,,,,,,,,,,,,,,,,,
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.88,0.1,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.67,0.5,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
